Game ,Referee_Name,CountryRef,Fixture,CardID,YCard,2YRed,Red,Player,CountryPlayer,GameState
18,Khamis Al Marri,Qatar,Kyrgyz Republic v Korea Republic,57,79,NA,NA,Lee Yong,Korea Republic,W
18,Khamis Al Marri,Qatar,Kyrgyz Republic v Korea Republic,58,83,NA,NA,Tursunali Rustamov,Kyrgyz Republic,L
19,Muahmmad Taqi Bin Jahari,Singapore,Vietnam v Iran,59,19,NA,NA,Mehdi Taremi,Iran,D
19,Muahmmad Taqi Bin Jahari,Singapore,Vietnam v Iran,60,46,NA,NA,Doan Van Hau,Vietnam,L
19,Muahmmad Taqi Bin Jahari,Singapore,Vietnam v Iran,61,75,NA,NA,Ehsan Haji Safi,Iran,W
19,Muahmmad Taqi Bin Jahari,Singapore,Vietnam v Iran,62,90,NA,NA,Do Duy Manh,Vietnam,L
20,Ming Fu,China,Yemen v Iraq,63,52,NA,NA,Wahid Mohammed,Yemen,L
21,Ali Sabah Adday Al Qaysi,Iraq,Lebanon v Saudi Arabia,64,41,NA,NA,Abdulaziz Al-Bishi,Saudi Arabia,W
21,Ali Sabah Adday Al Qaysi,Iraq,Lebanon v Saudi Arabia,65,70,NA,NA,George Felix Melki,Lebanon,L
21,Ali Sabah Adday Al Qaysi,Iraq,Lebanon v Saudi Arabia,66,82,NA,NA,Mohamad Haidar,Lebanon,L
21,Ali Sabah Adday Al Qaysi,Iraq,Lebanon v Saudi Arabia,67,89,NA,NA,Hilal Alhelwe,Lebanon,L
21,Ali Sabah Adday Al Qaysi,Iraq,Lebanon v Saudi Arabia,68,90,NA,NA,Salem Al Dawsari,Saudi Arabia,W
22,Hettikamkanamge Perera,Sri Lanka,North Korea v Qatar,69,7,NA,NA,Abdelkarim Hassan,Qatar,D
22,Hettikamkanamge Perera,Sri Lanka,North Korea v Qatar,70,13,NA,NA,Ri Un-Choi,DPR Korea,L
22,Hettikamkanamge Perera,Sri Lanka,North Korea v Qatar,71,17,NA,NA,Ri Il-Jin,DPR Korea,L
22,Hettikamkanamge Perera,Sri Lanka,North Korea v Qatar,72,17,NA,NA,Jong Il-Gwan,DPR Korea,L
22,Hettikamkanamge Perera,Sri Lanka,North Korea v Qatar,73,54,NA,NA,Pak Kwang-Ryong,DPR Korea,L
22,Hettikamkanamge Perera,Sri Lanka,North Korea v Qatar,74,NA,90,NA,Jong Il-Gwan,DPR Korea,L
23,Mohamad Yaacob,Malaysia,Japan v Oman,75,26,NA,NA,Ahmed Al Mahaijri,Oman,D
23,Mohamad Yaacob,Malaysia,Japan v Oman,76,36,NA,NA,Ritsu Doan,Japan,W
23,Mohamad Yaacob,Malaysia,Japan v Oman,77,49,NA,NA,Raed Saleh,Oman,L
23,Mohamad Yaacob,Malaysia,Japan v Oman,78,67,NA,NA,Takumi Minamino,Japan,W
23,Mohamad Yaacob,Malaysia,Japan v Oman,79,90,NA,NA,Saad Al-Mukhaini,Oman,L
24,Ammar Al Jenaibi,UAE,Turkmenistan v Uzbekistan,80,71,NA,NA,Anzur Ismailov,Uzbekistan,W
25,Ryuji Sato,Japan,UAE v Thailand,81,7,NA,NA,Adison Promrak,Thailand,D
25,Ryuji Sato,Japan,UAE v Thailand,82,34,NA,NA,Alhasan Salah Easa,UAE,W
25,Ryuji Sato,Japan,UAE v Thailand,83,79,NA,NA,Suphang Thongsong,Thailand,D
